-1.0632	0.5003
-1.2136	1.0039
-1.24	0.86
-1.155	0.56
-1.24	1.515
-1.21	1.45
-1.3006	1.385
-1.273	1.67
-1.35	0.78
-1.41	0.78
-1.19	1.09
-1.29	1.01
-1.4	1
-1.445	0.97
-1.405	0.74
-1.165	0.685
-0.804	2.075
-0.675	2.0762
-0.5995	1.765
-1.2367	1.6979
-1.125	1.72
-1.05	1.82
-1.1718	1.8525
-0.836	2.065
-0.95	2.04
-0.12	0.65
-0.0983	0.8064
-0.086	0.895
-0.125	1
-0.076	0.94
-0.22	1.01
-0.1318	1.3938
-0.2402	1.234
-0.2013	1.1452
-0.1159	1.1947
-0.106	1.32
-0.3351	1.5207
-0.4755	1.8353
-0.3092	1.6158
-0.235	1.715
-0.42	1.95
-0.425	1.915
-0.2721	1.4734
-0.39	1.77
-0.302	1.795
-0.1974	1.1624
-0.1915	1.605
-0.1915	1.605
-0.16	1.49
-0.325	0.56
-0.3968	0.4501
-0.3483	0.5595
-0.29	0.625
-0.2209	0.5579
-0.25	0.44
-0.885	0.155
-1.07	0.23
-0.95	0.135
-1.05	0.2
-1.145	0.365
-1.095	0.45
-1.35	0.5
-1.29	0.28
-1.195	0.44
-0.52	0.055
-0.85	1.98
-0.24	0.27
-0.692	0.045
-0.775	0.115
-0.75	-0.02
-0.64	-0.105
-0.555	0
-0.405	0.2
-0.38	0.055
-0.595	-0.065
-0.67	-0.114
-0.855	0.04
-1.35	0.955
-0.855	-0.095
-0.89	-0.085
-1.04	0.15
-0.95	0.02
-0.935	0.07
-1.099	0.175
-1.16	0.16
-1.175	0.27
-1.065	0.19
-0.9921	0.1253
-0.995	-0.035
-1.06	0.198
-1.23	0.225
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
